EEC1,Unit 10,yes
EEC1,Unit 10,cute
EEC1,Unit 10,tree
EEC1,Unit 10,_ dream
EEC1,Unit 10,_ drink
EEC2,"Unit 1 
Part A
",eleven
EEC2,"Part A
",twelve
EEC2,"Part A
",twenty
EEC2,"Part A
",thirty
EEC2,"Part A
",forty
EEC2,"Part A
",fifty
EEC2,"Part A
",time
EEC2,"Part A
",gift
EEC2,"Part A
",_ now
EEC2,Part B,_ twice
EEC2,Part B,her
EEC2,Part B,after
EEC2,Part B,never
EEC2,Part B,ever
EEC2,Part B,twin
EEC2,Part B,under
EEC2,Part B,hurt
EEC2,"Unit2 
Part A",garden
EEC2,Part A,here
EEC2,Part A,sorry
EEC2,Part A,come
EEC2,Part A,to
EEC2,Part A,_ get up
EEC2,Part A,_ brush
EEC2,Part A,_ face
EEC2,Part A,_ tooth
EEC2,Part A,_ wash
EEC2,Part A,_ put on
EEC2,Part A,_ clothes
EEC2,Part B,_ meat
EEC2,Part B,_ family
EEC2,Part B,right
EEC2,Part B,please
EEC2,Part B,fly
EEC2,Part B,any
EEC2,Part B,lady
EEC2,Part B,light
EEC2,Part B,bread
EEC2,"Unit3
Part A",in
EEC2,Part A,on
EEC2,Part A,under
EEC2,Part A,near
EEC2,Part A,behind
EEC2,Part A,chair
EEC2,Part A,cupboard
EEC2,Part A,head
EEC2,Part A,table
EEC2,Part A,where
EEC2,Part A,_ mouse
EEC2,Part A,_ help
EEC2,Part A,_ breakfast
EEC2,Part A,_ lunch
EEC2,Part A,_ dinner
EEC2,Part B,tall
EEC2,Part B,small
EEC2,Part B,mall
EEC2,Part B,coat
EEC2,Part B,park
EEC2,Part B,star
EEC2,Part B,goat
EEC2,Part B,door
EEC2,Part B,floor
EEC2,Part B,moor
EEC2,"Unit 4 
Part A
",_ dish
EEC2,Part A,_ clean
EEC2,Part A,plate
EEC2,Part A,cup
EEC2,Part A,bottle
EEC2,Part A,knife
EEC2,Part A,bowl
EEC2,Part A,fork
EEC2,Part A,teapot
EEC2,Part B,_ wolf
EEC2,Part B,short
EEC2,Part B,how
EEC2,Part B,now
EEC2,Part B,slow
EEC2,Part B,snow
EEC2,Part B,draw
EEC2,"Unit 5 
Part A
",ant
EEC2,Part A,cow
EEC2,Part A,bug
EEC2,Part A,frog
EEC2,Part A,bee
EEC2,Part A,horse
EEC2,Part A,snake
EEC2,Part A,worm
EEC2,Part A,_ spider
EEC2,Part B,airport
EEC2,Part B,much
EEC2,Part B,birds
EEC2,Part B,cards
EEC2,Part B,hair
EEC2,Part B,deer
EEC2,Part B,beer
EEC2,"Unit 6 
Part A
",_ busy
EEC2,Part A,_ stop
EEC2,Part A,_ plane
EEC2,Part A,blue
EEC2,Part A,yellow
EEC2,Part A,black
EEC2,Part A,green
EEC2,Part A,pink
EEC2,Part A,red
EEC2,Part A,orange
EEC2,Part A,white
EEC2,Part A,brown
EEC2,Part A,color
EEC2,Part A,boat
EEC2,Part B,large
EEC2,Part B,when
EEC2,Part B,luck
EEC2,Part B,who
EEC2,"Unit 7 
Part A
",_ join
EEC2,Part A,clean
EEC2,Part A,dirty
EEC2,Part A,short
EEC2,Part A,tall
EEC2,Part A,thin
EEC2,Part A,fat
EEC2,Part A,big
EEC2,Part A,small
EEC2,Part A,good
EEC2,Part A,bad
EEC2,Part B,thank
EEC2,Part B,think
EEC2,Part B,with
EEC2,Part B,book
EEC2,Part B,look
EEC2,Part B,food
EEC2,"Unit 8 
Part A
",head
EEC2,Part A,eye
EEC2,Part A,ear
EEC2,Part A,nose
EEC2,Part A,arm
EEC2,Part A,mouth
EEC2,Part A,back
EEC2,Part A,leg
EEC2,Part A,hand
EEC2,Part A,body
EEC2,Part A,_ present
EEC2,Part A,_ little
EEC2,Part A,_ strange
EEC2,Part B,dear
EEC2,Part B,clear
EEC2,Part B,house
EEC2,Part B,mouse
EEC2,Part B,photo
EEC2,Part B,_ about
EEC2,Part B,_ laugh
EEC2,Part B,_ enough
